##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:54 2016, Spec, 1, 300
Sat Jan  9 16:25:54 2016, Spec, 1, 300
Sat Jan  9 16:25:54 2016, Spec, 1, 300
Sat Jan  9 16:25:54 2016, Spec, 2, 300
Sat Jan  9 16:25:54 2016, Spec, 2, 300
Sat Jan  9 16:25:54 2016, Spec, 2, 300
Sat Jan  9 16:25:54 2016, Spec, 1, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
Sat Jan  9 16:25:56 2016, Spec, 1, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:57 2016, Spec, 1, 300
Sat Jan  9 16:25:58 2016, Spec, 2, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:59 2016, Spec, 2, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 1, 300
Sat Jan  9 16:25:59 2016, Spec, 2, 300
Sat Jan  9 16:25:59 2016, Spec, 2, 300
Sat Jan  9 16:25:59 2016, Spec, 2, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:00 2016, Spec, 1, 300
Sat Jan  9 16:26:00 2016, Spec, 1, 300
Sat Jan  9 16:26:00 2016, Spec, 1, 300
Sat Jan  9 16:26:00 2016, Spec, 1, 300
Sat Jan  9 16:26:00 2016, Spec, 1, 300
Sat Jan  9 16:26:00 2016, Spec, 1, 300
Sat Jan  9 16:26:01 2016, Spec, 1, 300
Sat Jan  9 16:26:01 2016, Spec, 1, 300
Sat Jan  9 16:26:01 2016, Spec, 1, 300
Sat Jan  9 16:26:01 2016, Spec, 1, 300
Sat Jan  9 16:26:01 2016, Spec, 2, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 2, 300
Sat Jan  9 16:26:02 2016, Spec, 1, 300
Sat Jan  9 16:26:02 2016, Spec, 2, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:03 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 1, 300
Sat Jan  9 16:26:04 2016, Spec, 2, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:05 2016, Fast, 92, 300
Sat Jan  9 16:26:05 2016, Fast, 79, 300
Sat Jan  9 16:26:05 2016, Fast, 73, 300
Sat Jan  9 16:26:05 2016, Fast, 69, 300
Sat Jan  9 16:26:05 2016, Fast, 76, 300
Sat Jan  9 16:26:06 2016, Fast, 78, 300
Sat Jan  9 16:26:06 2016, Fast, 71, 300
Sat Jan  9 16:26:06 2016, Fast, 73, 300
Sat Jan  9 16:26:06 2016, Fast, 83, 300
Sat Jan  9 16:26:06 2016, Fast, 74, 300
Sat Jan  9 16:26:06 2016, Fast, 73, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:07 2016, Fast, 64, 300
Sat Jan  9 16:26:07 2016, Fast, 77, 300
Sat Jan  9 16:26:07 2016, Fast, 64, 300
Sat Jan  9 16:26:08 2016, Fast, 60, 300
Sat Jan  9 16:26:08 2016, Fast, 65, 300
Sat Jan  9 16:26:08 2016, Fast, 65, 300
Sat Jan  9 16:26:08 2016, Fast, 59, 300
Sat Jan  9 16:26:08 2016, Fast, 60, 300
Sat Jan  9 16:26:08 2016, Fast, 60, 300
Sat Jan  9 16:26:08 2016, Fast, 70, 300
Sat Jan  9 16:26:08 2016, Fast, 67, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:09 2016, Fast, 57, 300
Sat Jan  9 16:26:09 2016, Fast, 57, 300
Sat Jan  9 16:26:09 2016, Fast, 55, 300
Sat Jan  9 16:26:10 2016, Fast, 57, 300
Sat Jan  9 16:26:10 2016, Fast, 59, 300
Sat Jan  9 16:26:10 2016, Fast, 59, 300
Sat Jan  9 16:26:10 2016, Fast, 61, 300
Sat Jan  9 16:26:10 2016, Fast, 55, 300
Sat Jan  9 16:26:10 2016, Fast, 54, 300
Sat Jan  9 16:26:10 2016, Fast, 56, 300
Sat Jan  9 16:26:10 2016, Fast, 55, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:11 2016, Fast, 65, 300
Sat Jan  9 16:26:11 2016, Fast, 66, 300
Sat Jan  9 16:26:12 2016, Fast, 64, 300
Sat Jan  9 16:26:12 2016, Fast, 63, 300
Sat Jan  9 16:26:12 2016, Fast, 60, 300
Sat Jan  9 16:26:12 2016, Fast, 61, 300
Sat Jan  9 16:26:12 2016, Fast, 61, 300
Sat Jan  9 16:26:12 2016, Fast, 66, 300
Sat Jan  9 16:26:12 2016, Fast, 64, 300
Sat Jan  9 16:26:12 2016, Fast, 60, 300
Sat Jan  9 16:26:12 2016, Fast, 61, 300
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:26:13 2016, Fast, 79, 300
Sat Jan  9 16:26:14 2016, Fast, 76, 300
Sat Jan  9 16:26:14 2016, Fast, 71, 300
Sat Jan  9 16:26:14 2016, Fast, 69, 300
Sat Jan  9 16:26:14 2016, Fast, 66, 300
Sat Jan  9 16:26:14 2016, Fast, 66, 300
Sat Jan  9 16:26:14 2016, Fast, 70, 300
